descripcion,valor_usd,valor_pen,categoria,subcategoria,idioma,es_sintetico
cine local - cena con amigos - Nequi,212.6,786.63,Entretenimiento,Eventos,es,True
Pago de entrenador personal en gimnasio local,245.37,907.86,Salud y bienestar,Entrenamiento,es,True
Carrefour - café,34.44,127.42,Alimentación,Cafetería,pt,True
streaming service / cine local - billetera digital,76.14,281.7,Entretenimiento,Streaming,en,True
gimnasio local - membresía de gimnasio,95.5,353.34,Salud y bienestar,Gimnasio,es,True
Compra en empresa de servicios: recibo de agua,85.56,316.55,Servicios,Agua,es,True
institución educativa - materiales educativos,24.56,90.85,Educación,Materiales educativos,es,True
pago varios / pago diverso,91.64,339.07,Otros,Otros,es,True
Pago de libros en Coursera,117.06,433.11,Educación,Libros,es,True
videojuegos / cine local,105.85,391.63,Entretenimiento,Videojuegos,es,True
sabonete / Avon,45.62,168.78,Cuidado personal,Higiene,pt,True
consulta médica / farmacia local,1140.62,4220.34,Salud y bienestar,Consulta médica,pt,True
Pago de clases de idiomas en institución educativa,218.18,807.26,Educación,Cursos,es,True
Magazine,13.78,50.99,Entretenimiento,Revistas,en,False
clase de yoga / centro médico,95.21,352.27,Salud y bienestar,Entrenamiento,es,True
entrenador personal / farmacia local - Mercado Pago,359.56,1330.38,Salud y bienestar,Entrenamiento,es,True
boleto aéreo / Booking,430.79,1593.96,Viajes,Vuelo,es,True
entradas para concierto / Netflix,111.41,412.21,Entretenimiento,Eventos,es,True
Compra en Éxito: leche,51.35,189.98,Alimentación,Supermercado,es,True
Pago de transporte público en Cabify - Nequi,29.78,110.18,Transporte,Transporte público,es,True
Pago de entradas de cine en Spotify,40.8,150.94,Entretenimiento,Cine,es,True
administración residencial - alquiler de vivienda,839.9,3107.69,Vivienda,Alquiler,es,True
Compra en cine local: servicio de streaming,20.14,74.5,Entretenimiento,Streaming,es,True
Mercado Libre - ropa - billetera móvil,381.22,1410.52,Compras,Ropa,es,True
compra diversa / servicio general,106.14,392.72,Otros,Otros,es,True
Pagamento de fast food em iFood,53.47,197.81,Alimentación,Comida rápida,pt,True
Pagamento de livros em Udemy,37.71,139.5,Educación,Libros,pt,True
florería local - juegos infantiles,332.85,1231.58,Regalos,Juguetes,es,True
Compra en Mercado Libre: calzado,196.32,726.38,Compras,Calzado,es,True
Compra en tienda departamental: compra de vehículo,1298.94,4806.24,Compras,Vehículo,es,True
servicio del hogar - mantenimiento del hogar - Nequi,45.74,169.24,Vivienda,Mantenimiento del hogar,es,True
Pago de servicio no identificado en comercio no identificado,126.97,469.78,Otros,Otros,es,True
Pago de cuidado de la piel en Natura,434.18,1606.49,Cuidado personal,Cuidado de la piel,es,True
plataforma de aprendizaje / institución educativa,246.53,912.17,Educación,Plataformas de aprendizaje,es,True
café / Carrefour,35.26,130.44,Alimentación,Cafetería,pt,True
Compra en tienda de regalos: joyería,72.88,269.66,Regalos,Joyería,es,True
Compra em Miniso: flores,171.2,633.44,Regalos,Flores,pt,True
Jumbo - pan,36.14,133.7,Alimentación,Supermercado,es,True
snacks / Rappi,32.41,119.9,Alimentación,Supermercado,es,True
Pago de reparación vehicular en Uber,369.81,1368.32,Transporte,Mantenimiento vehicular,es,True
Pago de snacks en Soriana,13.15,48.64,Alimentación,Supermercado,es,True
Compra en tienda de cuidado personal: champú,155.27,574.49,Cuidado personal,Higiene,es,True
Pago de verduras en Mi Comisariato,48.41,179.1,Alimentación,Supermercado,es,True
Payment for electricity bill at empresa eléctrica,107.19,396.62,Servicios,Electricidad,en,True
Pago de alquiler de vivienda en arrendador,939.85,3477.53,Vivienda,Alquiler,es,True
Compra en Netflix: servicio de streaming,35.08,129.77,Entretenimiento,Streaming,es,True
reparación vehicular / Cabify,338.35,1251.9,Transporte,Mantenimiento vehicular,es,True
Compra em farmacia local: equipamento de treino,221.75,820.48,Salud y bienestar,Equipamiento deportivo,pt,True
Compra en Coursera: plataforma de aprendizaje,52.9,195.71,Educación,Plataformas de aprendizaje,es,True
Pago de boleto aéreo en Booking,251.48,930.48,Viajes,Vuelo,es,True
Pago de ropa en tienda departamental,101.77,376.56,Compras,Ropa,es,True
Spotify - materiales de arte,121.68,450.19,Entretenimiento,Lectura y pasatiempos,es,True
calçados / Mercado Libre,285.19,1055.23,Compras,Calzado,pt,True
Pago de consulta médica en centro médico,237.03,877.02,Salud y bienestar,Consulta médica,es,True
cine local - materiais de crochê,66.57,246.28,Entretenimiento,Lectura y pasatiempos,pt,True
Pago de internet y telefonía en proveedor de internet,88.6,327.8,Servicios,Internet y telefonía,es,True
Compra em hotel local: passagem aérea,244.66,905.25,Viajes,Vuelo,pt,True
clase de yoga / gimnasio local,48.6,179.82,Salud y bienestar,Entrenamiento,es,True
comercio no identificado - serviço não identificado - PIX,33.16,122.69,Otros,Otros,pt,True
tienda de regalos - jewelry,766.71,2836.87,Regalos,Joyería,en,True
Pago de clase de yoga en gimnasio local,63.93,236.51,Salud y bienestar,Entrenamiento,es,True
consulta médica / gimnasio local,252.79,935.34,Salud y bienestar,Consulta médica,es,True
Compra en Netflix: servicio de streaming,77.68,287.39,Entretenimiento,Streaming,es,True
Payment for fuel at Cabify,136.03,503.3,Transporte,Combustible,en,True
entradas para concierto / Netflix,143.94,532.58,Entretenimiento,Eventos,es,True
cine local - videogames,53.03,196.18,Entretenimiento,Videojuegos,pt,True
estación de servicio - transporte público,13.4,49.57,Transporte,Transporte público,pt,True
Pago de entrenador personal en centro médico,166.12,614.64,Salud y bienestar,Entrenamiento,es,True
Compra en Natura: champú,113.94,421.58,Cuidado personal,Higiene,es,True
Compra en tienda de regalos: flores,44.12,163.23,Regalos,Flores,es,True
Pago de recibo de gas en proveedor de internet,122.04,451.53,Servicios,Gas domiciliario,es,True
Compra em estación de servicio: táxi ou aplicativo,36.81,136.18,Transporte,Taxi y aplicativo,pt,True
taxi o aplicativo / Cabify,103.59,383.29,Transporte,Taxi y aplicativo,es,True
reparación vehicular / estación de servicio,176.88,654.46,Transporte,Mantenimiento vehicular,es,True
taxi o aplicativo / estación de servicio,21.2,78.42,Transporte,Taxi y aplicativo,es,True
centro médico - medicamentos,198.54,734.62,Salud y bienestar,Farmacia,es,True
Uber - transporte público,32.26,119.35,Transporte,Transporte público,es,True
curso profesional / Coursera,141.05,521.88,Educación,Cursos,es,True
empresa eléctrica - recibo de electricidad,127.05,470.07,Servicios,Electricidad,es,True
Miniso - tarjeta de regalo,204.53,756.78,Regalos,Tarjeta de regalo,es,True
Pago de boleto aéreo en hotel local,344.9,1276.16,Viajes,Vuelo,es,True
Miniso - juegos infantiles,66.34,245.44,Regalos,Juguetes,es,True
Pago de carne en restaurante local,67.06,248.12,Alimentación,Supermercado,es,True
café / Rappi,18.81,69.56,Alimentación,Cafetería,es,True
videojuegos / Netflix,38.31,141.72,Entretenimiento,Videojuegos,es,True
cena con amigos / Netflix,267.37,989.27,Entretenimiento,Eventos,es,True
tienda de cuidado personal - jabón - Yape,24.87,91.99,Cuidado personal,Higiene,es,True
reparación vehicular / Cabify,84.52,312.74,Transporte,Mantenimiento vehicular,es,True
verduras / Soriana,27.44,101.49,Alimentación,Supermercado,es,True
pago diverso - compra diversa,143.79,532.01,Otros,Otros,es,True
comida en restaurante / Coto,180.29,667.06,Alimentación,Restaurante,es,True
Pago de libros en institución educativa,135.91,502.85,Educación,Libros,es,True
Compra em Cabify: manutenção do veículo,175.33,648.74,Transporte,Mantenimiento vehicular,pt,True
Pagamento de verduras em Pão de Açúcar,58.54,216.6,Alimentación,Supermercado,pt,True
entradas de cine / Netflix,88.57,327.69,Entretenimiento,Cine,es,True
Pago de materiales para tejido en cine local - SPEI,150.4,556.49,Entretenimiento,Lectura y pasatiempos,es,True
Pago de reparación vehicular en Uber,289.58,1071.46,Transporte,Mantenimiento vehicular,es,True
Pago de pollo en PedidosYa,154.17,570.42,Alimentación,Supermercado,es,True
Pago de entradas de cine en Netflix,124.88,462.04,Entretenimiento,Cine,es,True
Compra en Walmart: carne,66.94,247.67,Alimentación,Supermercado,es,True
servicio del hogar - mantenimiento del hogar,93.18,344.75,Vivienda,Mantenimiento del hogar,es,True
entrenador personal / gimnasio local,140.4,519.45,Salud y bienestar,Entrenamiento,es,True
fast food / Carrefour,152.77,565.22,Alimentación,Comida rápida,en,True
Pago de pago varios en pago diverso - Mercado Pago,85.28,315.54,Otros,Otros,es,True
Líder - frutas - Mercado Pago,18.05,66.77,Alimentación,Supermercado,es,True
Compra en Cabify: reparación vehicular,210.62,779.3,Transporte,Mantenimiento vehicular,es,True
Cabify - táxi ou aplicativo,18.06,66.81,Transporte,Taxi y aplicativo,pt,True
Compra en Natura: pasta dental,62.15,229.93,Cuidado personal,Higiene,es,True
Pago de entradas para concierto en cine local,155.04,573.63,Entretenimiento,Eventos,es,True
Compra en Líder: comida en restaurante,115.05,425.65,Alimentación,Restaurante,es,True
Pago de alquiler de vivienda en arrendador,304.22,1125.62,Vivienda,Alquiler,es,True
equipo para ejercicio / centro médico,403.16,1491.71,Salud y bienestar,Equipamiento deportivo,es,True
Compra em farmacia local: medicamentos,218.0,806.63,Salud y bienestar,Farmacia,pt,True
Booking - boleto aéreo - billetera móvil,143.43,530.7,Viajes,Vuelo,es,True
suscripción a revista / Netflix,71.04,262.84,Entretenimiento,Revistas,es,True
clase de yoga / farmacia local,116.99,432.85,Salud y bienestar,Entrenamiento,es,True
flores / tienda de regalos,89.12,329.74,Regalos,Flores,es,True
Coursera - curso profesional,71.24,263.58,Educación,Cursos,es,True
Pago de frutas en PedidosYa,59.26,219.26,Alimentación,Supermercado,es,True
pasta dental / Natura,28.17,104.2,Cuidado personal,Higiene,es,True
calzado / tienda departamental,69.94,258.76,Compras,Calzado,es,True
café / Oxxo,34.0,125.79,Alimentación,Cafetería,es,True
unidentified service / pago diverso,105.23,389.32,Otros,Otros,en,True
Compra en Udemy: libros,86.47,319.94,Educación,Libros,es,True
táxi ou aplicativo / Cabify - PIX,41.11,152.11,Transporte,Taxi y aplicativo,pt,True
Cabify - combustible,150.53,556.97,Transporte,Combustible,es,True
farmacia local - equipo para ejercicio - Mercado Pago,357.34,1322.19,Salud y bienestar,Equipamiento deportivo,es,True
Compra em comercio local: calçados,155.61,575.76,Compras,Calzado,pt,True
Compra en Soriana: comida en restaurante,91.36,338.0,Alimentación,Restaurante,es,True
carne / Mi Comisariato,55.08,203.77,Alimentación,Supermercado,es,True
Pago de leche en Rappi,31.33,115.88,Alimentación,Supermercado,es,True
Plaza Vea - pan,32.67,120.87,Alimentación,Supermercado,es,True
tarjeta de regalo / florería local,166.72,616.85,Regalos,Tarjeta de regalo,es,True
estación de servicio - combustible,127.78,472.79,Transporte,Combustible,es,True
proveedor de internet - recibo de agua,143.13,529.58,Servicios,Agua,es,True
Pago de alojamiento en hotel en Booking,382.94,1416.88,Viajes,Alojamiento,es,True
recibo de agua / empresa eléctrica,110.76,409.79,Servicios,Agua,es,True
Compra en centro médico: entrenador personal,211.23,781.57,Salud y bienestar,Entrenamiento,es,True
aulas de idiomas / Coursera,251.14,929.21,Educación,Cursos,pt,True
LATAM - hotel stay,100.81,373.02,Viajes,Alojamiento,en,True
consulta médica / gimnasio local,155.21,574.29,Salud y bienestar,Consulta médica,es,True
Pagamento de verduras em Carrefour,21.5,79.55,Alimentación,Supermercado,pt,True
servicio de streaming / cine local,64.29,237.85,Entretenimiento,Streaming,es,True
Pago de suscripción a revista en cine local,4.46,16.47,Entretenimiento,Revistas,es,True
pasta dental / Avon,49.29,182.35,Cuidado personal,Higiene,es,True
Compra en Líder: café,57.24,211.75,Alimentación,Cafetería,es,True
comercio no identificado - pagamento diversos,55.02,203.55,Otros,Otros,pt,True
Jumbo - carne,164.57,608.91,Alimentación,Supermercado,es,True
Pago de medicamentos en centro médico,118.49,438.4,Salud y bienestar,Farmacia,es,True
Compra en Tottus: comida rápida,44.37,164.17,Alimentación,Comida rápida,es,True
Pago de recibo de gas en empresa de servicios,200.39,741.46,Servicios,Gas domiciliario,es,True
tienda de regalos - juegos infantiles,156.71,579.82,Regalos,Juguetes,es,True
membresía de gimnasio / centro médico,74.08,274.07,Salud y bienestar,Gimnasio,es,True
Compra en estación de servicio: taxi o aplicativo,74.63,276.12,Transporte,Taxi y aplicativo,es,True
membresía de gimnasio / centro médico,75.74,280.22,Salud y bienestar,Gimnasio,es,True
frutas / Oxxo,54.59,201.97,Alimentación,Supermercado,es,True
Toothpaste,13.22,48.91,Cuidado personal,Higiene,en,False
Booking - boleto aéreo,517.28,1913.98,Viajes,Vuelo,es,True
cine local - servicio de streaming,122.5,453.22,Entretenimiento,Streaming,es,True
tarjeta de regalo / tienda de regalos,173.92,643.5,Regalos,Tarjeta de regalo,es,True
libros / Coursera,81.26,300.64,Educación,Libros,es,True
Compra en Oxxo: snacks,114.72,424.44,Alimentación,Supermercado,es,True
alquiler de vivienda / arrendador,778.43,2880.29,Vivienda,Alquiler,es,True
cuidado de la piel / Avon,362.83,1342.49,Cuidado personal,Cuidado de la piel,es,True
Compra en pago diverso: servicio no identificado,300.96,1113.56,Otros,Otros,es,True
estación de servicio - transporte público,20.54,75.96,Transporte,Transporte público,es,True
servicio no identificado / comercio no identificado - Mercado Pago,150.27,556.0,Otros,Otros,es,True
Pago de taxi o aplicativo en Cabify,203.21,751.89,Transporte,Taxi y aplicativo,es,True
medicamentos / farmacia local - PIX,235.16,870.1,Salud y bienestar,Farmacia,es,True
alquiler de vivienda / administración residencial,351.33,1299.94,Vivienda,Alquiler,es,True
transporte público / estación de servicio,49.26,182.26,Transporte,Transporte público,es,True
Purchase at florería local: flowers,170.27,630.0,Regalos,Flores,en,True
combustible / estación de servicio,117.29,433.95,Transporte,Combustible,es,True
Pago de internet y telefonía en empresa de servicios,283.93,1050.54,Servicios,Internet y telefonía,es,True
supermercado local - pollo,71.47,264.43,Alimentación,Supermercado,es,True
Compra en centro médico: membresía de gimnasio,50.32,186.15,Salud y bienestar,Gimnasio,es,True
empresa eléctrica - recibo de agua,125.97,466.1,Servicios,Agua,es,True
empresa de servicios - recibo de electricidad,83.08,307.36,Servicios,Electricidad,es,True
servicio del hogar - alquiler de vivienda,513.89,1901.47,Vivienda,Alquiler,es,True
curso profesional / institución educativa,87.2,322.64,Educación,Cursos,es,True
consulta dental / centro médico,269.58,997.44,Salud y bienestar,Odontología,es,True
iFood - pão - PIX,24.95,92.29,Alimentación,Supermercado,pt,True
Pago de equipo para ejercicio en gimnasio local,382.2,1414.15,Salud y bienestar,Equipamiento deportivo,es,True
compra diversa / servicio general,175.8,650.45,Otros,Otros,es,True
Pago de mantenimiento del hogar en servicio del hogar,154.87,573.01,Vivienda,Mantenimiento del hogar,es,True
Compra en Miniso: juegos infantiles,357.09,1321.22,Regalos,Juguetes,es,True
entradas para concierto / Spotify,361.65,1338.14,Entretenimiento,Eventos,es,True
Miniso - tarjeta de regalo,36.76,135.99,Regalos,Tarjeta de regalo,es,True
servicio de streaming / cine local,10.76,39.81,Entretenimiento,Streaming,es,True
Pago de matrícula académica en institución educativa,53.08,196.38,Educación,Matrícula,es,True
Compra en servicio del hogar: alquiler de vivienda,735.58,2721.75,Vivienda,Alquiler,es,True
flores / Miniso,118.47,438.34,Regalos,Flores,es,True
Compra en gimnasio local: consulta dental,189.11,699.7,Salud y bienestar,Odontología,es,True
Compra en florería local: tarjeta de regalo,275.1,1017.89,Regalos,Tarjeta de regalo,es,True
Compra en tienda departamental: productos electrónicos,553.96,2049.75,Compras,Electrónica,es,True
farmacia local - entrenador personal,654.63,2422.16,Salud y bienestar,Entrenamiento,es,True
suscripción a revista / Netflix,36.67,135.66,Entretenimiento,Revistas,es,True
pago varios / pago diverso,96.08,355.47,Otros,Otros,es,True
Compra en Booking: boleto aéreo,52.37,193.77,Viajes,Vuelo,es,True
flores / florería local,122.64,453.78,Regalos,Flores,es,True
hotel local - plane ticket - PIX,470.9,1742.34,Viajes,Vuelo,en,True
suscripción a revista / Netflix - SPEI,10.6,39.2,Entretenimiento,Revistas,es,True
champú / Natura - Mercado Pago,84.73,313.51,Cuidado personal,Higiene,es,True
Mercado Libre - productos electrónicos,503.08,1861.41,Compras,Electrónica,es,True
cine local - entradas para concierto,214.08,792.1,Entretenimiento,Eventos,es,True
Compra en LATAM: alojamiento en hotel,113.43,419.68,Viajes,Alojamiento,es,True
boleto aéreo / hotel local,235.51,871.4,Viajes,Vuelo,es,True
Compra en Uber: combustible,29.75,110.04,Transporte,Combustible,es,True
Pago de pago varios en servicio general,40.65,150.4,Otros,Otros,es,True
Compra en LATAM: boleto aéreo,545.4,2018.0,Viajes,Vuelo,es,True
suscripción a revista / cine local,85.16,315.06,Entretenimiento,Revistas,es,True
gimnasio local - consulta dental,35.19,130.18,Salud y bienestar,Odontología,es,True
centro médico - equipo para ejercicio,579.73,2145.05,Salud y bienestar,Equipamiento deportivo,es,True
verduras / Jumbo,53.28,197.12,Alimentación,Supermercado,es,True
juegos infantiles / florería local,384.48,1422.6,Regalos,Juguetes,es,True
Pago de reparación vehicular en Cabify - SPEI,222.68,823.93,Transporte,Mantenimiento vehicular,es,True
Compra en empresa de servicios: recibo de gas,184.87,684.01,Servicios,Gas domiciliario,es,True
Compra en Plaza Vea: café,36.96,136.71,Alimentación,Cafetería,es,True
PedidosYa - comida en restaurante,144.11,533.2,Alimentación,Restaurante,es,True
restaurante local - pan,12.81,47.37,Alimentación,Supermercado,es,True
refeição em restaurante / iFood,86.54,320.19,Alimentación,Restaurante,pt,True
Pago de comida rápida en Oxxo,93.97,347.65,Alimentación,Comida rápida,es,True
Compra en Cabify: transporte público,4.5,16.62,Transporte,Transporte público,es,True
Pago de alquiler de vivienda en administración residencial,307.48,1137.75,Vivienda,Alquiler,es,True
flores / tienda de regalos,131.81,487.7,Regalos,Flores,es,True
personal trainer / centro médico,309.03,1143.41,Salud y bienestar,Entrenamiento,pt,True
Compra en gimnasio local: entrenador personal,272.15,1006.96,Salud y bienestar,Entrenamiento,es,True
leche / supermercado local,40.72,150.65,Alimentación,Supermercado,es,True
Compra em iFood: carne,95.65,353.88,Alimentación,Supermercado,pt,True
café / Pão de Açúcar,55.87,206.7,Alimentación,Cafetería,pt,True
Compra em Natura: xampu,34.93,129.21,Cuidado personal,Higiene,pt,True
Compra en florería local: tarjeta de regalo,84.77,313.64,Regalos,Tarjeta de regalo,es,True
Compra en Netflix: cena con amigos,308.48,1141.4,Entretenimiento,Eventos,es,True
Walmart - pan,50.79,187.9,Alimentación,Supermercado,es,True
comercio local - ropa,190.55,705.02,Compras,Ropa,es,True
Pago de snacks en Líder - Mercado Pago,84.33,311.99,Alimentación,Supermercado,es,True
clases de idiomas / Coursera,92.24,341.29,Educación,Cursos,es,True
Compra em Booking: hospedagem em hotel - PIX,393.5,1455.97,Viajes,Alojamiento,pt,True
servicio de streaming / Spotify,66.76,246.99,Entretenimiento,Streaming,es,True
Compra en institución educativa: clases de idiomas,143.95,532.62,Educación,Cursos,es,True
gimnasio local - mensalidade da academia - PIX,67.07,248.14,Salud y bienestar,Gimnasio,pt,True
Pago de verduras en Cornershop,51.45,190.33,Alimentación,Supermercado,es,True
compra diversa / comercio no identificado,36.53,135.14,Otros,Otros,es,True
Pago de snacks en Oxxo,112.81,417.39,Alimentación,Supermercado,es,True
Pago de productos electrónicos en comercio local,573.21,2120.93,Compras,Electrónica,es,True
Pago de medicamentos en centro médico,421.85,1560.87,Salud y bienestar,Farmacia,es,True
materiales para tejido / cine local,135.31,500.66,Entretenimiento,Lectura y pasatiempos,es,True
Pago de compra de vehículo en Mercado Libre,2114.3,7823.16,Compras,Vehículo,es,True
Books,195.19,722.2,Educación,Libros,en,False
fast food / iFood,20.71,76.62,Alimentación,Comida rápida,pt,True
Pago de libros en institución educativa,283.34,1048.35,Educación,Libros,es,True
Pago de verduras en Oxxo,77.08,285.17,Alimentación,Supermercado,es,True
Pago de cuidado de la piel en Natura,602.37,2228.82,Cuidado personal,Cuidado de la piel,es,True
Compra en farmacia local: clase de yoga,181.64,672.08,Salud y bienestar,Entrenamiento,es,True
Mercado Libre - productos electrónicos,932.39,3449.91,Compras,Electrónica,es,True
aluguel / arrendador,540.82,2001.11,Vivienda,Alquiler,pt,True
Pago de reparación vehicular en estación de servicio,158.18,585.27,Transporte,Mantenimiento vehicular,es,True
Compra em Coursera: materiais escolares,157.63,583.24,Educación,Materiales educativos,pt,True
restaurante local - carne - billetera digital,82.02,303.44,Alimentación,Supermercado,es,True
servicio de streaming / Netflix,23.05,85.26,Entretenimiento,Streaming,es,True
Pagamento de personal trainer em centro médico,181.11,670.14,Salud y bienestar,Entrenamiento,pt,True
Purchase at empresa de servicios: gas bill,234.58,867.95,Servicios,Gas domiciliario,en,True
cine local - materiales para tejido,207.03,766.0,Entretenimiento,Lectura y pasatiempos,es,True
Pago de curso profesional en Coursera,131.23,485.57,Educación,Cursos,es,True
táxi ou aplicativo / Cabify,16.73,61.88,Transporte,Taxi y aplicativo,pt,True
Pago de recibo de gas en empresa de servicios,52.18,193.06,Servicios,Gas domiciliario,es,True
pasta dental / Avon,45.85,169.62,Cuidado personal,Higiene,es,True
Compra en administración residencial: alquiler de vivienda,268.39,993.06,Vivienda,Alquiler,es,True
entrenador personal / farmacia local,264.54,978.81,Salud y bienestar,Entrenamiento,es,True
Compra en Walmart: snacks,78.13,289.05,Alimentación,Supermercado,es,True
estación de servicio - transporte público - billetera digital,17.25,63.8,Transporte,Transporte público,es,True
Pago de alquiler de vivienda en administración residencial,813.27,3009.19,Vivienda,Alquiler,es,True
Coursera - libros,45.47,168.24,Educación,Libros,es,True
Éxito - carne,37.31,138.02,Alimentación,Supermercado,es,True
Pago de servicio no identificado en pago diverso,97.03,359.02,Otros,Otros,es,True
Pago de compra diversa en pago diverso,278.26,1029.56,Otros,Otros,es,True
recibo de agua / proveedor de internet,163.32,604.29,Servicios,Agua,es,True
Coursera - materiales educativos,90.09,333.31,Educación,Materiales educativos,es,True
Pago de comida rápida en Cornershop,90.75,335.76,Alimentación,Comida rápida,es,True
Compra en farmacia local: consulta dental,402.79,1490.34,Salud y bienestar,Odontología,es,True
materiales educativos / institución educativa,168.52,623.52,Educación,Materiales educativos,es,True
Compra en administración residencial: mantenimiento del hogar,168.54,623.59,Vivienda,Mantenimiento del hogar,es,True
Pago de alojamiento en hotel en hotel local,233.7,864.69,Viajes,Alojamiento,es,True
clase de yoga / farmacia local,177.25,655.84,Salud y bienestar,Entrenamiento,es,True
comercio local - ropa,222.87,824.62,Compras,Ropa,es,True
Compra en gimnasio local: entrenador personal - Mercado Pago,148.76,550.42,Salud y bienestar,Entrenamiento,es,True
sabonete / Natura,94.2,348.51,Cuidado personal,Higiene,pt,True
Pago de pago varios en servicio general,129.51,479.19,Otros,Otros,es,True
Pago de ropa en Mercado Libre - billetera móvil,203.02,751.17,Compras,Ropa,es,True
entradas de cine / Spotify,101.14,374.19,Entretenimiento,Cine,es,True
gimnasio local - consulta dental,75.44,279.11,Salud y bienestar,Odontología,es,True
entrenador personal / gimnasio local,376.51,1393.1,Salud y bienestar,Entrenamiento,es,True
arrendador - alquiler de vivienda,639.12,2364.82,Vivienda,Alquiler,es,True
cine local - materiales de arte - Mercado Pago,344.73,1275.51,Entretenimiento,Lectura y pasatiempos,es,True
gimnasio local - consulta médica,97.0,358.88,Salud y bienestar,Consulta médica,pt,True
café / Pão de Açúcar,51.31,189.83,Alimentación,Cafetería,pt,True
Pagamento de serviço não identificado em servicio general,262.74,972.15,Otros,Otros,pt,True
materiales para tejido / Netflix,119.73,442.97,Entretenimiento,Lectura y pasatiempos,es,True
Pago de combustible en estación de servicio,134.84,498.88,Transporte,Combustible,es,True
Mercado Libre - compra de vehículo,1396.11,5165.78,Compras,Vehículo,es,True
app de delivery - pão,55.33,204.7,Alimentación,Supermercado,pt,True
Udemy - clases de idiomas,168.52,623.49,Educación,Cursos,es,True
equipo para ejercicio / centro médico,192.77,713.26,Salud y bienestar,Equipamiento deportivo,es,True
Coto - pan,33.58,124.2,Alimentación,Supermercado,es,True
pago diverso - serviço não identificado,114.54,423.81,Otros,Otros,pt,True
cine local - ingressos de cinema,54.74,202.52,Entretenimiento,Cine,pt,True
Compra en farmacia local: clase de yoga - Nequi,231.63,857.04,Salud y bienestar,Entrenamiento,es,True
Compra em proveedor de internet: conta de água,253.02,936.16,Servicios,Agua,pt,True
Pago de entrenador personal en farmacia local,420.27,1555.02,Salud y bienestar,Entrenamiento,es,True
Pago de pan en Rappi,43.76,161.89,Alimentación,Supermercado,es,True
Pago de suscripción a revista en cine local,32.61,120.65,Entretenimiento,Revistas,es,True
comida en restaurante / Cornershop,112.06,414.6,Alimentación,Restaurante,es,True
empresa de servicios - recibo de electricidad,159.62,590.58,Servicios,Electricidad,es,True
Pago de consulta dental en gimnasio local,245.58,908.64,Salud y bienestar,Odontología,es,True
Compra en Plaza Vea: comida en restaurante,162.25,600.32,Alimentación,Restaurante,es,True
membresía de gimnasio / gimnasio local,175.04,647.66,Salud y bienestar,Gimnasio,es,True
Spotify - jantar com amigos,118.74,439.31,Entretenimiento,Eventos,pt,True
Compra en Uber: transporte público,98.28,363.62,Transporte,Transporte público,es,True
Pago de productos electrónicos en tienda departamental,525.23,1943.38,Compras,Electrónica,es,True
Compra en gimnasio local: entrenador personal - billetera digital,380.37,1407.38,Salud y bienestar,Entrenamiento,es,True
hotel local - alojamiento en hotel,183.57,679.21,Viajes,Alojamiento,es,True
Cabify - transporte público,42.88,158.64,Transporte,Transporte público,es,True
servicio no identificado / servicio general,70.88,262.24,Otros,Otros,es,True
Miniso - juegos infantiles,55.95,206.99,Regalos,Juguetes,es,True
libros / Udemy,121.6,449.91,Educación,Libros,es,True
combustible / estación de servicio - SPEI,113.73,420.78,Transporte,Combustible,es,True
institución educativa - curso profesional - Yape,295.42,1093.05,Educación,Cursos,es,True
centro médico - consulta médica,471.86,1745.91,Salud y bienestar,Consulta médica,es,True
Compra en centro médico: equipo para ejercicio - Yape,122.68,453.92,Salud y bienestar,Equipamiento deportivo,es,True
Pago de pasta dental en Avon,72.35,267.68,Cuidado personal,Higiene,es,True
Pago de comida en restaurante en Soriana - SPEI,64.73,239.49,Alimentación,Restaurante,es,True
mantenimiento del hogar / administración residencial,427.54,1581.9,Vivienda,Mantenimiento del hogar,es,True
comercio no identificado - pago varios,130.05,481.19,Otros,Otros,es,True
calzado / comercio local,190.05,703.19,Compras,Calzado,es,True
ropa / comercio local,140.81,521.0,Compras,Ropa,es,True
Compra en florería local: juegos infantiles - Mercado Pago,146.12,540.65,Regalos,Juguetes,es,True
Compra en empresa de servicios: recibo de gas,103.65,383.5,Servicios,Gas domiciliario,es,True
Compra en Netflix: materiales de arte,391.79,1449.63,Entretenimiento,Lectura y pasatiempos,es,True
Pago de pago varios en servicio general,58.87,217.8,Otros,Otros,es,True
Walmart - verduras,26.05,96.37,Alimentación,Supermercado,es,True
aula de yoga / farmacia local,116.65,431.59,Salud y bienestar,Entrenamiento,pt,True
Personal Trainer,352.79,1305.32,Salud y bienestar,Entrenamiento,en,False
centro médico - clase de yoga,60.62,224.26,Salud y bienestar,Entrenamiento,es,True
Pago de mantenimiento del hogar en servicio del hogar,103.95,384.59,Vivienda,Mantenimiento del hogar,es,True
videojuegos / Netflix,153.68,568.59,Entretenimiento,Videojuegos,es,True
Pagamento de sabonete em tienda de cuidado personal,31.23,115.54,Cuidado personal,Higiene,pt,True
entrenador personal / farmacia local,572.75,2119.22,Salud y bienestar,Entrenamiento,es,True
Pago de clase de yoga en gimnasio local,82.61,305.65,Salud y bienestar,Entrenamiento,es,True
servicio no identificado / servicio general,174.49,645.6,Otros,Otros,es,True
Compra em Carrefour: leite,73.56,272.16,Alimentación,Supermercado,pt,True
Pago de café en Plaza Vea,56.64,209.55,Alimentación,Cafetería,es,True
